p-number,location,unit,name,registration_number,unit_2,location_2,parking_number,location_3,floor,rooms_description,levels,shops,flats,offices,age,location_4,municipality_number,building,building_2,building_3
119487,Jabal Ali,1000-0,,AFSJQMOTHA1373,,,,,,,,,,,,224.0,,Al Furjan,,Commercial
119488,Jabal Ali,1001-0,,AFSDQMOTHB0444,,,,,,,,,,,,224.0,,Al Furjan,,Commercial
119489,Jabal Ali,1002-0,,AFSCQMOTHA0336,,,,,,,,,,,,224.0,,Al Furjan,,Commercial
119490,Jabal Ali,1003-0,,AFSDQCOV3B0826,,,,,,,,,,,,600.0,,Al Furjan,,Commercial
119491,Jabal Ali,1004-0,,AFSDQMOTHB0563,,,,,,,,,,,,224.0,,Al Furjan,,Commercial
119492,Jabal Ali,1005-0,,AFEMQCOV5B1948,,,,,,,,,,,,600.0,5000001,Al Furjan,,Commercial
119493,Jabal Ali,1006-0,,AFEMQCOV5B1900,,,,,,,,,,,,600.0,,Al Furjan,,Commercial
119494,Jabal Ali,1007-0,,AFEMQCOV3B1904,,,,,,,,,,,,600.0,5000001,Al Furjan,,Commercial
119495,Jabal Ali,1008-0,,AFEMQCOV3B1906,,,,,,,,,,,,600.0,5000001,Al Furjan,,Commercial
119496,Jabal Ali,1009-0,,AFSDQMOTHB0768,,,,,,,,,,,,224.0,,Al Furjan,,Commercial
119497,Jabal Ali,1010-0,,AFSDQMOTHB0728,,,,,,,,,,,,224.0,,Al Furjan,,Commercial
119498,Jabal Ali,1011-0,,AFSFQMOTHA0964,,,,,,,,,,,,224.0,5000001,Al Furjan,,Commercial
119499,Jabal Ali,1012-0,,AFSDQMOTHB0731,,,,,,,,,,,,224.0,,Al Furjan,,Commercial
119500,Jabal Ali,1013-0,,AFSFQMOTHB0975,,,,,,,,,,,,224.0,,Al Furjan,,Commercial
119501,Jabal Ali,1014-0,,AFEKHCOV3B1576,,,,,,,,,,,,600.0,,Al Furjan,,Commercial
119502,Jabal Ali,1015-0,,AFSJQCLV3A1426,,,,,,,,,,,,600.0,,Al Furjan,,Commercial
119503,Jabal Ali,1016-0,,AFEKHMOTHB1511,,,,,,,,,,,,224.0,,Al Furjan,,Commercial
119504,Jabal Ali,1017-0,,AFSFQMOTHB0949,,,,,,,,,,,,224.0,5000001,Al Furjan,,Commercial
119505,Jabal Ali,1018-0,,AFSHDMOTHA1147,,,,,,,,,,,,224.0,5000001,Al Furjan,,Commercial
119506,Jabal Ali,1019-0,,AFSADCLV3B0098,,,,,,,,,,,,600.0,,Al Furjan,,Commercial
119507,Jabal Ali,1020-0,,AFSADCOV5B0162,,,,,,,,,,,,600.0,,Al Furjan,,Commercial
119508,Jabal Ali,1021-0,,AFMU050,,,,,,,,,,,,10536.76,,Al Furjan,,Commercial
119509,Jabal Ali,1022-0,,AFEKHMOTHB1508,,,,,,,,,,,,224.0,,Al Furjan,,Commercial
119510,Jabal Ali,1023-0,,AFEMQCOV3B1931,,,,,,,,,,,,600.0,,Al Furjan,,Commercial
119511,Jabal Ali,1024-0,,AFEMQCOV5B1942,,,,,,,,,,,,600.0,5000001,Al Furjan,,Commercial
119512,Jabal Ali,1025-0,,AFSADMOTHB0009,,,,,,,,,,,,224.0,,Al Furjan,,Commercial
119513,Jabal Ali,1026-0,,AFENDCOV5B2116,,,,,,,,,,,,600.0,,Al Furjan,,Commercial
119514,Jabal Ali,1027-0,,AFSDQMOTHA0748,,,,,,,,,,,,224.0,,Al Furjan,,Commercial
119515,Jabal Ali,1028-0,,AFSADCLV3B0114,,,,,,,,,,,,600.0,,Al Furjan,,Commercial
119516,Jabal Ali,1029-0,,AFSDQMOTHA0457,,,,,,,,,,,,224.0,,Al Furjan,,Commercial
119517,Jabal Ali,1030-0,,AFEMQMOTHA1812,,,,,,,,,,,,224.0,5000001,Al Furjan,,Commercial
119518,Jabal Ali,1031-0,,AFEMQMOTHB1875,,,,,,,,,,,,224.0,,Al Furjan,,Commercial
119519,Jabal Ali,1032-0,,AFSDQMOTHA0529,,,,,,,,,,,,224.0,5000001,Al Furjan,,Commercial
119520,Jabal Ali,1033-0,,AFSCQMOTHA0357,,,,,,,,,,,,224.0,5000001,Al Furjan,,Commercial
119521,Jabal Ali,1034-0,,AFENDCOV3A2137,,,,,,,,,,,,600.0,,Al Furjan,,Commercial
119522,Jabal Ali,1035-0,,AFSCQMOTHB0308,,,,,,,,,,,,224.0,5000001,Al Furjan,,Commercial
119523,Jabal Ali,1036-0,,AFSHDCOV3B1255,,,,,,,,,,,,600.0,,Al Furjan,,Commercial
119524,Jabal Ali,1037-0,,AFSHDCOV3B1209,,,,,,,,,,,,600.0,,Al Furjan,,Commercial
119525,Jabal Ali,1038-0,,AFSDQMOTHB0658,,,,,,,,,,,,224.0,5000001,Al Furjan,,Commercial
119526,Jabal Ali,1039-0,,AFSCQMOTHA0364,,,,,,,,,,,,224.0,5000001,Al Furjan,,Commercial
119527,Jabal Ali,1040-0,,AFEKHMOTHB1538,,,,,,,,,,,,224.0,,Al Furjan,,Commercial
119528,Jabal Ali,1041-0,,AFSFQCLV6M0986,,,,,,,,,,,,875.0,5000001,Al Furjan,,Commercial
119529,Jabal Ali,1042-0,,AFSGDMOTHA1053,,,,,,,,,,,,224.0,,Al Furjan,,Commercial
119530,Jabal Ali,1043-0,,AFSADMOTHA0023,,,,,,,,,,,,224.0,,Al Furjan,,Commercial
5385617,Jabal Ali,1044-0,AFSBDCLV3B0270,,,,,,2,3 B/R,,,,,,600.0,,Al Furjan,AL FURJAN,Commercial
119531,Jabal Ali,1044-0,,AFSBDCLV3B0270,,,,,,,,,,,,600.0,,Al Furjan,AL FURJAN,Commercial
119532,Jabal Ali,1045-0,,AFSFQMOTHA0963,,,,,,,,,,,,224.0,5000001,Al Furjan,,Commercial
119533,Jabal Ali,1046-0,,AFSADCLV5B0116,,,,,,,,,,,,600.0,,Al Furjan,,Commercial
119534,Jabal Ali,1047-0,,AFRA015,,,,,,,,,,,,3147.58,5000001,Al Furjan,,Commercial
119535,Jabal Ali,1048-0,,AFSCQCOV3A0404,,,,,,,,,,,,600.0,5000001,Al Furjan,,Commercial
119536,Jabal Ali,1049-0,,AFEMQMOTHA1867,,,,,,,,,,,,224.0,5000001,Al Furjan,,Commercial
119537,Jabal Ali,1050-0,,AFEMQMOTHA1823,,,,,,,,,,,,224.0,,Al Furjan,,Commercial
119538,Jabal Ali,1051-0,,AFEMQMOTHA1827,,,,,,,,,,,,224.0,,Al Furjan,,Commercial
119539,Jabal Ali,1052-0,,AFEMQMOTHB1831,,,,,,,,,,,,224.0,5000001,Al Furjan,,Commercial
119540,Jabal Ali,1053-0,,AFEMQCOV6M1935,,,,,,,,,,,,875.0,,Al Furjan,,Commercial
119541,Jabal Ali,1054-0,,AFEMQCOV3B1937,,,,,,,,,,,,600.0,,Al Furjan,,Commercial
119542,Jabal Ali,1055-0,,AFEMQCOV5B1880,,,,,,,,,,,,600.0,5000001,Al Furjan,,Commercial
119543,Jabal Ali,1056-0,,AFSDQMOTHA0714,,,,,,,,,,,,224.0,,Al Furjan,,Commercial
119544,Jabal Ali,1057-0,,AFSFQMOTHB0940,,,,,,,,,,,,224.0,,Al Furjan,,Commercial
119545,Jabal Ali,1058-0,,AFSHDCOV5B1236,,,,,,,,,,,,620.4,5000001,Al Furjan,,Commercial
119546,Jabal Ali,1059-0,,AFELHCOV5B1770,,,,,,,,,,,,600.0,5000001,Al Furjan,,Commercial
119547,Jabal Ali,1060-0,,AFSBDCLV5A0276,,,,,,,,,,,,600.0,5000001,Al Furjan,,Commercial
119548,Jabal Ali,1061-0,,AFSADCOV3A0134,,,,,,,,,,,,600.0,,Al Furjan,AL FURJAN,Commercial
119549,Jabal Ali,1062-0,,AFSDQMOTHA0442,,,,,,,,,,,,224.0,5000001,Al Furjan,,Commercial
119550,Jabal Ali,1063-0,,AFSADMOTHB0041,,,,,,,,,,,,224.0,5000001,Al Furjan,AL FURJAN,Commercial
119551,Jabal Ali,1064-0,,AFSDQCLV5B0775,,,,,,,,,,,,600.0,5000001,Al Furjan,,Commercial
119552,Jabal Ali,1065-0,,AFC054,,,,,,,,,,,,4300.6,,Al Furjan,,Commercial
119553,Jabal Ali,1066-0,,AFSDQMOTHA0755,,,,,,,,,,,,224.0,,Al Furjan,,Commercial
119554,Jabal Ali,1067-0,,AFSADMOTHB0058,,,,,,,,,,,,224.0,5000001,Al Furjan,,Commercial
119555,Jabal Ali,1068-0,,AFSFQCLV6M1014,,,,,,,,,,,,875.0,5000001,Al Furjan,,Commercial
119556,Jabal Ali,1069-0,,AFSADMOTHB0013,,,,,,,,,,,,224.0,5000001,Al Furjan,,Commercial
119557,Jabal Ali,1070-0,,AFSDQMOTHA0429,,,,,,,,,,,,224.0,,Al Furjan,AL FURJAN,Commercial
5384353,Jabal Ali,1070-0,AFSDQMOTHA0429,,,,,,2,3 B/R,,,,,,229.6,,Al Furjan,AL FURJAN,Commercial
119558,Jabal Ali,1071-0,,AFMU019,,,,,,,,,,,,3759.86,,Al Furjan,,Commercial
119559,Jabal Ali,1072-0,,AFMU002,,,,,,,,,,,,3930.96,,Al Furjan,,Commercial
119560,Jabal Ali,1073-0,,AFSCQMOTHB0345,,,,,,,,,,,,224.0,5000001,Al Furjan,,Commercial
119561,Jabal Ali,1074-0,,AFSCQMOTHA0344,,,,,,,,,,,,224.0,,Al Furjan,,Commercial
119562,Jabal Ali,1075-0,,AFEKHMOTHB1479,,,,,,,,,,,,224.0,5000001,Al Furjan,,Commercial
119563,Jabal Ali,1076-0,,AFELHCOV3B1749,,,,,,,,,,,,600.0,5000001,Al Furjan,,Commercial
119564,Jabal Ali,1077-0,,AFSDQMOTHB0500,,,,,,,,,,,,224.0,,Al Furjan,,Commercial
119565,Jabal Ali,1078-0,,AFC042,,,,,,,,,,,,3898.78,5001111,Al Furjan,AL MASA II,Commercial
119566,Jabal Ali,1079-0,,AFMU039,,,,,,,,,,,,3330.92,,Al Furjan,,Commercial
119567,Jabal Ali,1080-0,,AFMU017,,,,,,,,,,,,3920.12,,Al Furjan,,Commercial
119568,Jabal Ali,1081-0,,AFSDQMOTHB0574,,,,,,,,,,,,224.0,,Al Furjan,AL FURJAN,Commercial
119569,Jabal Ali,1082-0,,AFMU027,,,,,,,,,,,,3351.5,,Al Furjan,,Commercial
119570,Jabal Ali,1083-0,,AFSDQMOTHA0548,,,,,,,,,,,,224.0,5000001,Al Furjan,,Commercial
119571,Jabal Ali,1084-0,,AFSCQCOV3B0391,,,,,,,,,,,,600.0,5000001,Al Furjan,,Commercial
119572,Jabal Ali,1085-0,,AFSBDCLV5B0258,,,,,,,,,,,,600.0,,Al Furjan,,Commercial
119573,Jabal Ali,1086-0,,AFENDMOTHA2090,,,,,,,,,,,,224.0,,Al Furjan,,Commercial
119574,Jabal Ali,1087-0,,AFENDMOTHB2069,,,,,,,,,,,,224.0,,Al Furjan,,Commercial
119575,Jabal Ali,1088-0,,AFEMQCOV5B1932,,,,,,,,,,,,600.0,,Al Furjan,,Commercial
119576,Jabal Ali,1089-0,,AFSBDCLV5A0275,,,,,,,,,,,,600.0,,Al Furjan,AL FURJAN,Commercial
5385641,Jabal Ali,1089-0,AFSBDCLV5A0275,,,,,,2,5 B/R,,,,,,600.0,,Al Furjan,AL FURJAN,Commercial
119577,Jabal Ali,1090-0,,AFMU026,,,,,,,,,,,,3595.69,,Al Furjan,,Commercial
119578,Jabal Ali,1091-0,,AFSBDMOTHA0187,,,,,,,,,,,,224.0,5000001,Al Furjan,AL FURJAN,Commercial
