p-number,location,unit,name,registration_number,unit_2,location_2,parking_number,location_3,floor,rooms_description,levels,shops,flats,offices,age,location_4,municipality_number,building,building_2,building_3
265225,Madinat Al Mataar,1-0,,DWC-RC-60,,,,,,,,,,,,2424.47,5210000,Dubai World Central,,Government Authorities
273557,Madinat Al Mataar,10-0,,DWC-RC-83,,,,,,,,,,,,2586.97,5210000,Dubai World Central,,Government Authorities
10792654,Madinat Al Mataar,100-,,DWC-RG-76,,,,,,,,,,,,3333.94,5210000,Dubai World Central,,Government Authorities
10792682,Madinat Al Mataar,101-,,DWC-RG-75,,,,,,,,,,,,3129.12,5210000,Dubai World Central,,Government Authorities
10838010,Madinat Al Mataar,102-,,DWC-RB-48,,,,,,,,,,,,3165.6,5210000,Dubai World Central,,Government Authorities
10955873,Madinat Al Mataar,103-,,DWC-RB-56,,,,,,,,,,,,2790.95,5210713,Dubai World Central,,Government Authorities
10955957,Madinat Al Mataar,104-,,DWC-RB-27,,,,,,,,,,,,2299.75,5210676,Dubai World Central,,Government Authorities
10956022,Madinat Al Mataar,105-,,DWC-RA-35,,,,,,,,,,,,2693.34,5210632,Dubai World Central,,Government Authorities
10956075,Madinat Al Mataar,106-,,DWC-RA-31,,,,,,,,,,,,2818.43,5210631,Dubai World Central,,Government Authorities
11022506,Madinat Al Mataar,107-,,RF-46,,,,,,,,,,,,2150.13,5210000,Dubai World Central,,Government Authorities
11022691,Madinat Al Mataar,108-,,RF-47,,,,,,,,,,,,2105.99,5210000,Dubai World Central,,Government Authorities
11252828,Madinat Al Mataar,109-,,DWC-RC-17,,,,,,,,,,,,2710.49,5210000,Dubai World Central,,Government Authorities
273562,Madinat Al Mataar,11-0,,DWC-RD-16,,,,,,,,,,,,2325.33,5210000,Dubai World Central,,Government Authorities
11267166,Madinat Al Mataar,110-,,DWC-RC-77,,,,,,,,,,,,3860.63,5210000,Dubai World Central,,Government Authorities
11297581,Madinat Al Mataar,111-,,DWC-RB-42,,,,,,,,,,,,2321.91,,Dubai World Central,,Government Authorities
11615390,Madinat Al Mataar,112-,,DWC-RC-70,,,,,,,,,,,,2358.06,5210585,Dubai World Central,,Government Authorities
11640762,Madinat Al Mataar,113-,,DWC-RC-35,,,,,,,,,,,,3843.3,5210000,Dubai World Central,,Government Authorities
11714915,Madinat Al Mataar,114-,,DWC-RA-11,,,,,,,,,,,,2825.2,5210000,Dubai World Central,,Government Authorities
11716222,Madinat Al Mataar,115-,,DWC-RC-94,,,,,,,,,,,,2786.76,5210000,Dubai World Central,,Government Authorities
