p-number,location,unit,name,registration_number,unit_2,location_2,parking_number,location_3,floor,rooms_description,levels,shops,flats,offices,age,location_4,municipality_number,building,building_2,building_3
6824477,Dubai Investment Park First,352-0,2801,,,,,,2,4 B/R,,,,,,1060.0,5980174,Dubai Investment Park First,,Commercial
6824245,Dubai Investment Park First,352-0,3901,,,,,,1,4 B/R,,,,,,1108.48,5980174,Dubai Investment Park First,,Commercial
6824249,Dubai Investment Park First,352-0,3902,,,,,,1,4 B/R,,,,,,911.26,5980174,Dubai Investment Park First,,Commercial
6824253,Dubai Investment Park First,352-0,3904,,,,,,1,4 B/R,,,,,,917.75,5980174,Dubai Investment Park First,,Commercial
6824257,Dubai Investment Park First,352-0,3905,,,,,,1,4 B/R,,,,,,986.15,5980174,Dubai Investment Park First,,Commercial
6824261,Dubai Investment Park First,352-0,3906,,,,,,1,4 B/R,,,,,,917.75,5980174,Dubai Investment Park First,,Commercial
6824265,Dubai Investment Park First,352-0,3907,,,,,,1,4 B/R,,,,,,910.0,5980174,Dubai Investment Park First,,Commercial
6824269,Dubai Investment Park First,352-0,3908,,,,,,1,4 B/R,,,,,,917.75,5980174,Dubai Investment Park First,,Commercial
6824281,Dubai Investment Park First,352-0,3911,,,,,,1,4 B/R,,,,,,910.0,5980174,Dubai Investment Park First,,Commercial
6824285,Dubai Investment Park First,352-0,3912,,,,,,1,4 B/R,,,,,,876.54,5980174,Dubai Investment Park First,,Commercial
6824289,Dubai Investment Park First,352-0,3913,,,,,,1,4 B/R,,,,,,854.33,5980174,Dubai Investment Park First,,Commercial
6824293,Dubai Investment Park First,352-0,4002,,,,,,1,4 B/R,,,,,,996.87,5980174,Dubai Investment Park First,,Commercial
6824297,Dubai Investment Park First,352-0,4003,,,,,,1,4 B/R,,,,,,915.67,5980174,Dubai Investment Park First,,Commercial
6824301,Dubai Investment Park First,352-0,4004,,,,,,1,4 B/R,,,,,,1006.7,5980174,Dubai Investment Park First,,Commercial
6824305,Dubai Investment Park First,352-0,4005,,,,,,1,4 B/R,,,,,,954.74,5980174,Dubai Investment Park First,,Commercial
6824309,Dubai Investment Park First,352-0,4006,,,,,,1,4 B/R,,,,,,999.78,5980174,Dubai Investment Park First,,Commercial
6824313,Dubai Investment Park First,352-0,4007,,,,,,1,4 B/R,,,,,,1232.07,5980174,Dubai Investment Park First,,Commercial
6824317,Dubai Investment Park First,352-0,4008,,,,,,2,4 B/R,,,,,,1326.56,5980174,Dubai Investment Park First,,Commercial
6824321,Dubai Investment Park First,352-0,4009,,,,,,1,4 B/R,,,,,,1188.47,5980174,Dubai Investment Park First,,Commercial
6824325,Dubai Investment Park First,352-0,4010,,,,,,2,4 B/R,,,,,,1221.97,5980174,Dubai Investment Park First,,Commercial
6824329,Dubai Investment Park First,352-0,4011,,,,,,1,4 B/R,,,,,,887.93,5980174,Dubai Investment Park First,,Commercial
6824333,Dubai Investment Park First,352-0,4012,,,,,,2,4 B/R,,,,,,1091.09,5980174,Dubai Investment Park First,,Commercial
6824337,Dubai Investment Park First,352-0,4013,,,,,,1,4 B/R,,,,,,887.93,5980174,Dubai Investment Park First,,Commercial
6824341,Dubai Investment Park First,352-0,4014,,,,,,2,4 B/R,,,,,,875.0,5980174,Dubai Investment Park First,,Commercial
6824345,Dubai Investment Park First,352-0,4015,,,,,,1,4 B/R,,,,,,887.93,5980174,Dubai Investment Park First,,Commercial
6824349,Dubai Investment Park First,352-0,4016,,,,,,2,4 B/R,,,,,,927.3,5980174,Dubai Investment Park First,,Commercial
6824353,Dubai Investment Park First,352-0,4017,,,,,,1,4 B/R,,,,,,887.93,5980174,Dubai Investment Park First,,Commercial
6824357,Dubai Investment Park First,352-0,4018,,,,,,2,4 B/R,,,,,,926.13,5980174,Dubai Investment Park First,,Commercial
6824361,Dubai Investment Park First,352-0,4019,,,,,,1,4 B/R,,,,,,923.76,5980174,Dubai Investment Park First,,Commercial
6824365,Dubai Investment Park First,352-0,4020,,,,,,2,4 B/R,,,,,,885.75,5980174,Dubai Investment Park First,,Commercial
6824369,Dubai Investment Park First,352-0,4022,,,,,,1,4 B/R,,,,,,1049.62,5980174,Dubai Investment Park First,,Commercial
6824373,Dubai Investment Park First,352-0,4024,,,,,,1,4 B/R,,,,,,1049.62,5980174,Dubai Investment Park First,,Commercial
6824377,Dubai Investment Park First,352-0,4026,,,,,,1,4 B/R,,,,,,1049.62,5980174,Dubai Investment Park First,,Commercial
6824381,Dubai Investment Park First,352-0,4028,,,,,,1,4 B/R,,,,,,1049.62,5980174,Dubai Investment Park First,,Commercial
6824385,Dubai Investment Park First,352-0,4030,,,,,,1,4 B/R,,,,,,1049.62,5980174,Dubai Investment Park First,,Commercial
6824389,Dubai Investment Park First,352-0,4032,,,,,,1,4 B/R,,,,,,1052.99,5980174,Dubai Investment Park First,,Commercial
6824393,Dubai Investment Park First,352-0,4034,,,,,,2,4 B/R,,,,,,969.39,5980174,Dubai Investment Park First,,Commercial
6824397,Dubai Investment Park First,352-0,4035,,,,,,2,4 B/R,,,,,,750.0,5980174,Dubai Investment Park First,,Commercial
6824401,Dubai Investment Park First,352-0,4036,,,,,,2,4 B/R,,,,,,774.53,5980174,Dubai Investment Park First,,Commercial
6824405,Dubai Investment Park First,352-0,4037,,,,,,2,4 B/R,,,,,,750.0,5980174,Dubai Investment Park First,,Commercial
6824409,Dubai Investment Park First,352-0,4038,,,,,,2,4 B/R,,,,,,750.0,5980174,Dubai Investment Park First,,Commercial
6824413,Dubai Investment Park First,352-0,4101,,,,,,1,4 B/R,,,,,,990.38,5980174,Dubai Investment Park First,,Commercial
6824417,Dubai Investment Park First,352-0,4102,,,,,,1,4 B/R,,,,,,878.61,5980174,Dubai Investment Park First,,Commercial
6824421,Dubai Investment Park First,352-0,4103,,,,,,2,4 B/R,,,,,,903.76,5980174,Dubai Investment Park First,,Commercial
6824425,Dubai Investment Park First,352-0,4104,,,,,,1,4 B/R,,,,,,840.01,5980174,Dubai Investment Park First,,Commercial
6824429,Dubai Investment Park First,352-0,4105,,,,,,2,4 B/R,,,,,,891.91,5980174,Dubai Investment Park First,,Commercial
6824433,Dubai Investment Park First,352-0,4106,,,,,,1,4 B/R,,,,,,840.27,5980174,Dubai Investment Park First,,Commercial
6824437,Dubai Investment Park First,352-0,4107,,,,,,2,4 B/R,,,,,,942.46,5980174,Dubai Investment Park First,,Commercial
6824441,Dubai Investment Park First,352-0,4108,,,,,,1,4 B/R,,,,,,840.0,5980174,Dubai Investment Park First,,Commercial
6824445,Dubai Investment Park First,352-0,4109,,,,,,1,4 B/R,,,,,,849.25,5980174,Dubai Investment Park First,,Commercial
6824449,Dubai Investment Park First,352-0,4110,,,,,,1,4 B/R,,,,,,840.0,5980174,Dubai Investment Park First,,Commercial
6823708,Dubai Investment Park First,352-0,3234,,,,,,1,4 B/R,,,,,,1002.41,5980174,Dubai Investment Park First,,Commercial
6823712,Dubai Investment Park First,352-0,3236,,,,,,1,4 B/R,,,,,,1014.69,5980174,Dubai Investment Park First,,Commercial
6823716,Dubai Investment Park First,352-0,3238,,,,,,2,4 B/R,,,,,,750.0,5980174,Dubai Investment Park First,,Commercial
6823720,Dubai Investment Park First,352-0,3240,,,,,,2,4 B/R,,,,,,750.02,5980174,Dubai Investment Park First,,Commercial
6823724,Dubai Investment Park First,352-0,3242,,,,,,2,4 B/R,,,,,,951.16,5980174,Dubai Investment Park First,,Commercial
6823728,Dubai Investment Park First,352-0,3244,,,,,,2,4 B/R,,,,,,962.82,5980174,Dubai Investment Park First,,Commercial
6823732,Dubai Investment Park First,352-0,3246,,,,,,2,4 B/R,,,,,,880.97,5980174,Dubai Investment Park First,,Commercial
6823744,Dubai Investment Park First,352-0,3250,,,,,,2,4 B/R,,,,,,883.88,5980174,Dubai Investment Park First,,Commercial
6823748,Dubai Investment Park First,352-0,3251,,,,,,1,4 B/R,,,,,,899.64,5980174,Dubai Investment Park First,,Commercial
6823752,Dubai Investment Park First,352-0,3252,,,,,,2,4 B/R,,,,,,908.75,5980174,Dubai Investment Park First,,Commercial
6823756,Dubai Investment Park First,352-0,3253,,,,,,1,4 B/R,,,,,,899.64,5980174,Dubai Investment Park First,,Commercial
6823760,Dubai Investment Park First,352-0,3254,,,,,,2,4 B/R,,,,,,1002.27,5980174,Dubai Investment Park First,,Commercial
6823764,Dubai Investment Park First,352-0,3255,,,,,,1,4 B/R,,,,,,899.64,5980174,Dubai Investment Park First,,Commercial
6823768,Dubai Investment Park First,352-0,3256,,,,,,2,4 B/R,,,,,,1008.59,5980174,Dubai Investment Park First,,Commercial
6823772,Dubai Investment Park First,352-0,3257,,,,,,1,4 B/R,,,,,,905.6,5980174,Dubai Investment Park First,,Commercial
6823776,Dubai Investment Park First,352-0,3258,,,,,,2,4 B/R,,,,,,744.91,5980174,Dubai Investment Park First,,Commercial
6823780,Dubai Investment Park First,352-0,3259,,,,,,1,4 B/R,,,,,,867.7,5980174,Dubai Investment Park First,,Commercial
