p-number,location,unit,registration_number,unit_2,location_2,parking_number,location_3,floor,rooms_description,levels,shops,flats,offices,age,location_4,municipality_number,building,building_2,building_3
49380323,Wadi Al Safa 5,2285-,VILLANOVA-PA-13,,,,,,,,,,,,74369.74,,,La Quinta,Commercial
53046506,Wadi Al Safa 5,2287-,LA QUINTA-P12_001,,,,,,,,,,,,400.33,,,La Quinta,Commercial
53046508,Wadi Al Safa 5,2288-,LA QUINTA-P12_002,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53046510,Wadi Al Safa 5,2289-,LA QUINTA-P12_003,,,,,,,,,,,,400.0,,,La Quinta,Commercial
53046512,Wadi Al Safa 5,2290-,LA QUINTA-P12_004,,,,,,,,,,,,400.0,,,La Quinta,Commercial
53046514,Wadi Al Safa 5,2291-,LA QUINTA-P12_005,,,,,,,,,,,,511.06,,,La Quinta,Commercial
53046516,Wadi Al Safa 5,2292-,LA QUINTA-P12_006,,,,,,,,,,,,511.06,,,La Quinta,Commercial
53046518,Wadi Al Safa 5,2293-,LA QUINTA-P12_007,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53046520,Wadi Al Safa 5,2294-,LA QUINTA-P12_008,,,,,,,,,,,,400.0,,,La Quinta,Commercial
53046522,Wadi Al Safa 5,2295-,LA QUINTA-P12_009,,,,,,,,,,,,400.0,,,La Quinta,Commercial
53046524,Wadi Al Safa 5,2296-,LA QUINTA-P12_010,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53046526,Wadi Al Safa 5,2297-,LA QUINTA-P12_011,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53046528,Wadi Al Safa 5,2298-,LA QUINTA-P12_012,,,,,,,,,,,,400.0,,,La Quinta,Commercial
53046530,Wadi Al Safa 5,2299-,LA QUINTA-P12_013,,,,,,,,,,,,414.09,,,La Quinta,Commercial
53046532,Wadi Al Safa 5,2300-,LA QUINTA-P12_014,,,,,,,,,,,,414.05,,,La Quinta,Commercial
53046534,Wadi Al Safa 5,2301-,LA QUINTA-P12_015,,,,,,,,,,,,585.17,,,La Quinta,Commercial
53046536,Wadi Al Safa 5,2302-,LA QUINTA-P12_016,,,,,,,,,,,,594.18,,,La Quinta,Commercial
53046538,Wadi Al Safa 5,2303-,LA QUINTA-P12_017,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53046540,Wadi Al Safa 5,2304-,LA QUINTA-P12_018,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53046542,Wadi Al Safa 5,2305-,LA QUINTA-P12_019,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53046544,Wadi Al Safa 5,2306-,LA QUINTA-P12_020,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53046546,Wadi Al Safa 5,2307-,LA QUINTA-P12_021,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53046548,Wadi Al Safa 5,2308-,LA QUINTA-P12_022,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53046550,Wadi Al Safa 5,2309-,LA QUINTA-P12_023,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53046552,Wadi Al Safa 5,2310-,LA QUINTA-P12_024,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53046554,Wadi Al Safa 5,2311-,LA QUINTA-P12_025,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53046556,Wadi Al Safa 5,2312-,LA QUINTA-P12_026,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53046558,Wadi Al Safa 5,2313-,LA QUINTA-P12_027,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53046560,Wadi Al Safa 5,2314-,LA QUINTA-P12_028,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53046562,Wadi Al Safa 5,2315-,LA QUINTA-P12_029,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53046564,Wadi Al Safa 5,2316-,LA QUINTA-P12_030,,,,,,,,,,,,481.27,,,La Quinta,Commercial
53046566,Wadi Al Safa 5,2317-,LA QUINTA-P12_031,,,,,,,,,,,,409.1,,,La Quinta,Commercial
53046568,Wadi Al Safa 5,2318-,LA QUINTA-P12_032,,,,,,,,,,,,421.9,,,La Quinta,Commercial
53046570,Wadi Al Safa 5,2319-,LA QUINTA-P12_033,,,,,,,,,,,,423.68,,,La Quinta,Commercial
53046572,Wadi Al Safa 5,2320-,LA QUINTA-P12_034,,,,,,,,,,,,345.55,,,La Quinta,Commercial
53046574,Wadi Al Safa 5,2321-,LA QUINTA-P12_035,,,,,,,,,,,,346.72,,,La Quinta,Commercial
53046576,Wadi Al Safa 5,2322-,LA QUINTA-P12_036,,,,,,,,,,,,347.9,,,La Quinta,Commercial
53046578,Wadi Al Safa 5,2323-,LA QUINTA-P12_037,,,,,,,,,,,,429.8,,,La Quinta,Commercial
53046580,Wadi Al Safa 5,2324-,LA QUINTA-P12_038,,,,,,,,,,,,431.58,,,La Quinta,Commercial
53046582,Wadi Al Safa 5,2325-,LA QUINTA-P12_039,,,,,,,,,,,,433.36,,,La Quinta,Commercial
53046584,Wadi Al Safa 5,2326-,LA QUINTA-P12_040,,,,,,,,,,,,353.41,,,La Quinta,Commercial
53046586,Wadi Al Safa 5,2327-,LA QUINTA-P12_041,,,,,,,,,,,,436.58,,,La Quinta,Commercial
53046588,Wadi Al Safa 5,2328-,LA QUINTA-P12_042,,,,,,,,,,,,459.87,,,La Quinta,Commercial
53046590,Wadi Al Safa 5,2329-,LA QUINTA-P12_043,,,,,,,,,,,,479.64,,,La Quinta,Commercial
53046592,Wadi Al Safa 5,2330-,LA QUINTA-P12_044,,,,,,,,,,,,426.8,,,La Quinta,Commercial
53046594,Wadi Al Safa 5,2331-,LA QUINTA-P12_045,,,,,,,,,,,,429.36,,,La Quinta,Commercial
53046596,Wadi Al Safa 5,2332-,LA QUINTA-P12_046,,,,,,,,,,,,350.74,,,La Quinta,Commercial
53046598,Wadi Al Safa 5,2333-,LA QUINTA-P12_047,,,,,,,,,,,,352.43,,,La Quinta,Commercial
53046600,Wadi Al Safa 5,2334-,LA QUINTA-P12_048,,,,,,,,,,,,354.12,,,La Quinta,Commercial
53046602,Wadi Al Safa 5,2335-,LA QUINTA-P12_049,,,,,,,,,,,,438.16,,,La Quinta,Commercial
53050402,Wadi Al Safa 5,2336-,LA QUINTA-P12_050,,,,,,,,,,,,440.72,,,La Quinta,Commercial
53050404,Wadi Al Safa 5,2337-,LA QUINTA-P12_051,,,,,,,,,,,,443.28,,,La Quinta,Commercial
53050406,Wadi Al Safa 5,2338-,LA QUINTA-P12_052,,,,,,,,,,,,445.84,,,La Quinta,Commercial
53050418,Wadi Al Safa 5,2339-,LA QUINTA-P12_053,,,,,,,,,,,,448.4,,,La Quinta,Commercial
