p-number,location,unit,name,registration_number,unit_2,location_2,parking_number,location_3,floor,rooms_description,levels,shops,flats,offices,age,location_4,municipality_number,building,building_2,building_3
99152,Nad Al Shiba,1029-0,,,,,,,,,,,,,,5909261.8,6008138,Meydan,,Public Facilities
141462,Nad Al Shiba,6582-0,,0,,,,,,,,,,,,118994.62,6000000,Meydan,,Public Facilities
10307493,Nad Al Shiba First,100-,,,,,,,,,,,,,,935.21,6189115,Meydan,,Public Facilities
10307495,Nad Al Shiba First,101-,,,,,,,,,,,,,,962.27,6189039,Meydan,,Public Facilities
10307497,Nad Al Shiba First,102-,,,,,,,,,,,,,,1228.63,6189046,Meydan,,Public Facilities
10307499,Nad Al Shiba First,103-,,,,,,,,,,,,,,1264.23,6189079,Meydan,,Public Facilities
10307501,Nad Al Shiba First,104-,,,,,,,,,,,,,,1354.96,6188940,Meydan,,Public Facilities
10307503,Nad Al Shiba First,105-,,,,,,,,,,,,,,1393.36,6189010,Meydan,,Public Facilities
10307505,Nad Al Shiba First,106-,,,,,,,,,,,,,,1393.36,6189009,Meydan,,Public Facilities
46613738,Nad Al Shiba First,1068-,,MEDYAN ONE PHASE CB,,,,,,,,,,,,329752.53,6189154,Meydan,,Public Facilities
46732180,Nad Al Shiba First,1069-,,ROYAL PEARLS-1,,,,,,,,,,,,428836.67,,Meydan,,Public Facilities
10307507,Nad Al Shiba First,107-,,,,,,,,,,,,,,1393.42,6189011,Meydan,,Public Facilities
46840660,Nad Al Shiba First,1070-,,,,,,,,,,,,,,1511.27,6184143,Meydan,,Public Facilities
46883271,Nad Al Shiba First,1071-,,,,,,,,,,,,,,1444.92,6184133,Meydan,,Public Facilities
46883273,Nad Al Shiba First,1072-,,,,,,,,,,,,,,1446.21,6184134,Meydan,,Public Facilities
46883275,Nad Al Shiba First,1073-,,,,,,,,,,,,,,1444.98,6184135,Meydan,,Public Facilities
46883277,Nad Al Shiba First,1074-,,,,,,,,,,,,,,1444.94,6184136,Meydan,,Public Facilities
46906430,Nad Al Shiba First,1075-,,,,,,,,,,,,,,1441.29,6184127,Meydan,,Public Facilities
46906432,Nad Al Shiba First,1076-,,,,,,,,,,,,,,1451.24,6184128,Meydan,,Public Facilities
