p-number,location,unit,name,registration_number,unit_2,location_2,parking_number,location_3,floor,rooms_description,levels,shops,flats,offices,age,location_4,municipality_number,building,building_2,building_3
17649859,Wadi Al Safa 7,2478-,U 098,,,,,,2,3 B/R,,,,,,176.58,6650000,,Rukan2,Commercial
17649861,Wadi Al Safa 7,2478-,K 24,,,,,,2,3 B/R,,,,,,176.48,6650000,,Rukan2,Commercial
17649862,Wadi Al Safa 7,2478-,U 114,,,,,,2,3 B/R,,,,,,175.84,6650000,,Rukan2,Commercial
17649863,Wadi Al Safa 7,2478-,U 104,,,,,,2,3 B/R,,,,,,176.48,6650000,,Rukan2,Commercial
17649799,Wadi Al Safa 7,2478-,K 31,,,,,,2,3 B/R,,,,,,176.32,6650000,,Rukan2,Commercial
17649800,Wadi Al Safa 7,2478-,R 82,,,,,,2,4 B/R,,,,,,1027.79,6650000,,Rukan2,Commercial
330666764,Wadi Al Safa 7,3393-,U 139,,,,,,,,,,,,,,,,,
17649876,Wadi Al Safa 7,2478-,R 02,,,,,,2,4 B/R,,,,,,576.93,6650000,,Rukan2,Commercial
17649877,Wadi Al Safa 7,2478-,K 28,,,,,,3,4 B/R,,,,,,260.35,6650000,,Rukan2,Commercial
17649878,Wadi Al Safa 7,2478-,R 71,,,,,,2,4 B/R,,,,,,578.04,6650000,,Rukan2,Commercial
17649879,Wadi Al Safa 7,2478-,K 17,,,,,,2,3 B/R,,,,,,176.48,6650000,,Rukan2,Commercial
17649880,Wadi Al Safa 7,2478-,U 110,,,,,,2,3 B/R,,,,,,176.48,6650000,,Rukan2,Commercial
17649881,Wadi Al Safa 7,2478-,K 05,,,,,,2,3 B/R,,,,,,176.28,6650000,,Rukan2,Commercial
17649882,Wadi Al Safa 7,2478-,U 118,,,,,,2,3 B/R,,,,,,175.74,6650000,,Rukan2,Commercial
17649883,Wadi Al Safa 7,2478-,U 115,,,,,,2,3 B/R,,,,,,177.26,6650000,,Rukan2,Commercial
17649884,Wadi Al Safa 7,2478-,K 30,,,,,,2,3 B/R,,,,,,176.48,6650000,,Rukan2,Commercial
17649785,Wadi Al Safa 7,2478-,R 08,,,,,,2,4 B/R,,,,,,667.11,6650000,,Rukan2,Commercial
