p-number,location,unit,name,registration_number,unit_2,location_2,parking_number,location_3,floor,rooms_description,levels,shops,flats,offices,age,location_4,municipality_number,building,building_2,building_3
41839323,Wadi Al Safa 5,2101-,,VILLANOVA,,,,,,,,,,,,87342.78,,,Villanova Amaranta ,Commercial
43651126,Wadi Al Safa 5,2153-,,VILLANOVA-P1_001,,,,,,,,,,,,419.28,,,Villanova Amaranta ,Commercial
43651128,Wadi Al Safa 5,2154-,,VILLANOVA-P1_002,,,,,,,,,,,,384.16,,,Villanova Amaranta ,Commercial
43651130,Wadi Al Safa 5,2155-,,VILLANOVA-P1_003,,,,,,,,,,,,435.05,,,Villanova Amaranta ,Commercial
43651132,Wadi Al Safa 5,2156-,,VILLANOVA-P1_004,,,,,,,,,,,,457.09,,,Villanova Amaranta ,Commercial
43651134,Wadi Al Safa 5,2157-,,VILLANOVA-P1_005,,,,,,,,,,,,497.91,,,Villanova Amaranta ,Commercial
43651136,Wadi Al Safa 5,2158-,,VILLANOVA-P1_006,,,,,,,,,,,,473.42,,,Villanova Amaranta ,Commercial
43651138,Wadi Al Safa 5,2159-,,VILLANOVA-P1_007,,,,,,,,,,,,325.29,,,Villanova Amaranta ,Commercial
43651140,Wadi Al Safa 5,2160-,,VILLANOVA-P1_008,,,,,,,,,,,,325.0,,,Villanova Amaranta ,Commercial
43651142,Wadi Al Safa 5,2161-,,VILLANOVA-P1_009,,,,,,,,,,,,325.0,,,Villanova Amaranta ,Commercial
43651144,Wadi Al Safa 5,2162-,,VILLANOVA-P1_010,,,,,,,,,,,,325.0,,,Villanova Amaranta ,Commercial
43651146,Wadi Al Safa 5,2163-,,VILLANOVA-P1_011,,,,,,,,,,,,399.99,,,Villanova Amaranta ,Commercial
43651148,Wadi Al Safa 5,2164-,,VILLANOVA-P1_012,,,,,,,,,,,,400.01,,,Villanova Amaranta ,Commercial
43651150,Wadi Al Safa 5,2165-,,VILLANOVA-P1_013,,,,,,,,,,,,400.01,,,Villanova Amaranta ,Commercial
43651152,Wadi Al Safa 5,2166-,,VILLANOVA-P1_014,,,,,,,,,,,,400.0,,,Villanova Amaranta ,Commercial
43651154,Wadi Al Safa 5,2167-,,VILLANOVA-P1_015,,,,,,,,,,,,325.0,,,Villanova Amaranta ,Commercial
43651156,Wadi Al Safa 5,2168-,,VILLANOVA-P1_016,,,,,,,,,,,,325.01,,,Villanova Amaranta ,Commercial
43651158,Wadi Al Safa 5,2169-,,VILLANOVA-P1_017,,,,,,,,,,,,324.99,,,Villanova Amaranta ,Commercial
43651160,Wadi Al Safa 5,2170-,,VILLANOVA-P1_018,,,,,,,,,,,,324.99,,,Villanova Amaranta ,Commercial
43651162,Wadi Al Safa 5,2171-,,VILLANOVA-P1_019,,,,,,,,,,,,400.0,,,Villanova Amaranta ,Commercial
43651164,Wadi Al Safa 5,2172-,,VILLANOVA-P1_020,,,,,,,,,,,,400.0,,,Villanova Amaranta ,Commercial
43651166,Wadi Al Safa 5,2173-,,VILLANOVA-P1_021,,,,,,,,,,,,400.0,,,Villanova Amaranta ,Commercial
43651168,Wadi Al Safa 5,2174-,,VILLANOVA-P1_022,,,,,,,,,,,,325.01,,,Villanova Amaranta ,Commercial
43651170,Wadi Al Safa 5,2175-,,VILLANOVA-P1_023,,,,,,,,,,,,401.57,,,Villanova Amaranta ,Commercial
43651172,Wadi Al Safa 5,2176-,,VILLANOVA-P1_024,,,,,,,,,,,,329.08,,,Villanova Amaranta ,Commercial
43651174,Wadi Al Safa 5,2177-,,VILLANOVA-P1_025,,,,,,,,,,,,328.69,,,Villanova Amaranta ,Commercial
43651176,Wadi Al Safa 5,2178-,,VILLANOVA-P1_026,,,,,,,,,,,,327.91,,,Villanova Amaranta ,Commercial
43651178,Wadi Al Safa 5,2179-,,VILLANOVA-P1_027,,,,,,,,,,,,325.0,,,Villanova Amaranta ,Commercial
43651180,Wadi Al Safa 5,2180-,,VILLANOVA-P1_028,,,,,,,,,,,,324.99,,,Villanova Amaranta ,Commercial
43651182,Wadi Al Safa 5,2181-,,VILLANOVA-P1_029,,,,,,,,,,,,399.99,,,Villanova Amaranta ,Commercial
43651184,Wadi Al Safa 5,2182-,,VILLANOVA-P1_030,,,,,,,,,,,,400.01,,,Villanova Amaranta ,Commercial
43651186,Wadi Al Safa 5,2183-,,VILLANOVA-P1_031,,,,,,,,,,,,400.0,,,Villanova Amaranta ,Commercial
43651188,Wadi Al Safa 5,2184-,,VILLANOVA-P1_032,,,,,,,,,,,,324.99,,,Villanova Amaranta ,Commercial
43651190,Wadi Al Safa 5,2185-,,VILLANOVA-P1_033,,,,,,,,,,,,324.99,,,Villanova Amaranta ,Commercial
43651192,Wadi Al Safa 5,2186-,,VILLANOVA-P1_034,,,,,,,,,,,,325.22,,,Villanova Amaranta ,Commercial
43651194,Wadi Al Safa 5,2187-,,VILLANOVA-P1_035,,,,,,,,,,,,329.23,,,Villanova Amaranta ,Commercial
43651196,Wadi Al Safa 5,2188-,,VILLANOVA-P1_036,,,,,,,,,,,,333.51,,,Villanova Amaranta ,Commercial
43651198,Wadi Al Safa 5,2189-,,VILLANOVA-P1_037,,,,,,,,,,,,410.49,,,Villanova Amaranta ,Commercial
43651200,Wadi Al Safa 5,2190-,,VILLANOVA-P1_038,,,,,,,,,,,,410.47,,,Villanova Amaranta ,Commercial
43651202,Wadi Al Safa 5,2191-,,VILLANOVA-P1_039,,,,,,,,,,,,410.47,,,Villanova Amaranta ,Commercial
43651204,Wadi Al Safa 5,2192-,,VILLANOVA-P1_040,,,,,,,,,,,,324.96,,,Villanova Amaranta ,Commercial
43651206,Wadi Al Safa 5,2193-,,VILLANOVA-P1_041,,,,,,,,,,,,399.96,,,Villanova Amaranta ,Commercial
43651208,Wadi Al Safa 5,2194-,,VILLANOVA-P1_042,,,,,,,,,,,,399.94,,,Villanova Amaranta ,Commercial
43651210,Wadi Al Safa 5,2195-,,VILLANOVA-P1_043,,,,,,,,,,,,329.85,,,Villanova Amaranta ,Commercial
43651212,Wadi Al Safa 5,2196-,,VILLANOVA-P1_044,,,,,,,,,,,,364.13,,,Villanova Amaranta ,Commercial
43651214,Wadi Al Safa 5,2197-,,VILLANOVA-P1_045,,,,,,,,,,,,399.96,,,Villanova Amaranta ,Commercial
43651216,Wadi Al Safa 5,2198-,,VILLANOVA-P1_046,,,,,,,,,,,,399.96,,,Villanova Amaranta ,Commercial
43651218,Wadi Al Safa 5,2199-,,VILLANOVA-P1_047,,,,,,,,,,,,364.29,,,Villanova Amaranta ,Commercial
43651220,Wadi Al Safa 5,2200-,,VILLANOVA-P1_048,,,,,,,,,,,,363.5,,,Villanova Amaranta ,Commercial
43651222,Wadi Al Safa 5,2201-,,VILLANOVA-P1_049,,,,,,,,,,,,399.75,,,Villanova Amaranta ,Commercial
43654512,Wadi Al Safa 5,2202-,,VILLANOVA-P1_050,,,,,,,,,,,,403.85,,,Villanova Amaranta ,Commercial
43654514,Wadi Al Safa 5,2203-,,VILLANOVA-P1_051,,,,,,,,,,,,359.51,,,Villanova Amaranta ,Commercial
43654516,Wadi Al Safa 5,2204-,,VILLANOVA-P1_052,,,,,,,,,,,,345.17,,,Villanova Amaranta ,Commercial
